model,n_paired_essays,mean_stylistic,mean_discourse,gap_style_minus_disc,dz,p_raw,p_holm,significant_5pct
BERT,4986,0.1617,0.1029,0.0588,0.36,0.0001,0.0002,True
Longformer,4986,0.2396,0.1006,0.1389,0.898,0.0001,0.0002,True
